iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.brevo.com/v3/companies","Unauthorized","401","497","72",,"Verify that status code is 200, Id format should contain, Body contains correct company's name, LinkedContacts array in refs is not empty, Verify that the JSON data contains the items key , Id and attributes are present in the items key , All required keys in the attributes objects are present, Date format is correct",,"8","0","8","0"
"1","Sendinblue","Create a company","POST","https://api.brevo.com/v3/companies","Unauthorized","401","213","72","verify that id value is correct, Content-Type is application/json","Status code is 200, Id format should contain, Response has the id property, Response body is an object",,"6","2","4","0"
"1","Sendinblue","Get company attributes","GET","https://api.brevo.com/v3/companies/attributes","Unauthorized","401","185","72","Each object in the array has the correct structure, Each object has the correct data types for its properties","Status code is 200",,"3","2","1","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.brevo.com/v3/companies/link-unlink/663644ca1475e991d06436b9","Unauthorized","401","174","72",,,,"0","0","0","0"
"1","Sendinblue","Get a company","GET","https://api.brevo.com/v3/companies/null","Unauthorized","401","176","72",,"Response status code is 200, Response has the required fields, Date format is correct, Domain is correct, Id is correct",,"5","0","5","0"
"1","Sendinblue","Delete a company","DELETE","https://api.brevo.com/v3/companies/663373f747833521fb4660da","Unauthorized","401","397","72",,"Status code is 204, Status code name has string",,"2","0","2","0"
"1","Sendinblue","Update a company","PATCH","https://api.brevo.com/v3/companies/663374b3a8bbd01d31422b9c","Unauthorized","401","172","72",,,,"0","0","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.brevo.com/v3/crm/pipeline/details","Unauthorized","401","161","72","Response Content-Type is application/json","Response status code is 200, Response has the required fields - pipeline, pipeline_name, and stages, Validate the stages array, Id format is correct, Status code name has Ok",,"6","1","5","0"
"1","Sendinblue","Get all deals","GET","https://api.brevo.com/v3/crm/deals","Unauthorized","401","184","72",,"Items array is empty, Pager object has correct values, Response status code is 200, Validate the structure of the response body",,"4","0","4","0"
"1","Sendinblue","Create a deal","POST","https://api.brevo.com/v3/crm/deals","Unauthorized","401","165","72","Response body is an object, Response body contains the deal_owner property, Status code is 400","Status code is 200, Response has the id property, Id format should contain 24 alphanumeric characters",,"6","3","3","0"
"1","Sendinblue","Create a deal Copy","POST","https://api.brevo.com/v3/crm/deals","Unauthorized","401","181","72",,,,"0","0","0","0"
"1","Sendinblue","Create a deal Copy","POST","https://api.brevo.com/v3/crm/deals","Unauthorized","401","172","72",,,,"0","0","0","0"
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.brevo.com/v3/crm/deals/link-unlink/veniam elit in","Unauthorized","401","188","72",,,,"0","0","0","0"
"1","Sendinblue","Get deal attributes","GET","https://api.brevo.com/v3/crm/attributes/deals","Unauthorized","401","159","72",,,,"0","0","0","0"
"1","Sendinblue","Get a deal","GET","https://api.brevo.com/v3/crm/deals/","Unauthorized","401","173","72",,"Response status code is 200, Response has the required fields, Date format is correct, Id is correct, Deal Name is correct",,"5","0","5","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.brevo.com/v3/crm/deals/","Unauthorized","401","171","72","Response time is within an acceptable range","Response status code is 204, Validate the response schema for successful deletion, Id is correct, Error message  is correct, Status code 404  is correct",,"6","1","5","0"
"1","Sendinblue","Update a deal","PATCH","https://api.brevo.com/v3/crm/deals/","Unauthorized","401","172","72",,,,"0","0","0","0"
"1","Sendinblue","Get all tasks","GET","https://api.brevo.com/v3/crm/tasks?filter[type]=veniam elit in&filter[status]=done&filter[date]=range&filter[assignTo]=veniam elit in&filter[contacts]=veniam elit in&filter[deals]=veniam elit in&filter[companies]=veniam elit in&dateFrom=-41398727&dateTo=-41398727&offset=13396752&limit=50&sort=desc&sortBy=name","Unauthorized","401","175","72",,,,"0","0","0","0"
"1","Sendinblue","Create a task","POST","https://api.brevo.com/v3/crm/tasks","Unauthorized","401","178","72",,,,"0","0","0","0"
"1","Sendinblue","Get all task types","GET","https://api.brevo.com/v3/crm/tasktypes","Unauthorized","401","178","72",,,,"0","0","0","0"
"1","Sendinblue","Get a task","GET","https://api.brevo.com/v3/crm/tasks/veniam elit in","Unauthorized","401","181","72",,,,"0","0","0","0"
"1","Sendinblue","Delete a task","DELETE","https://api.brevo.com/v3/crm/tasks/veniam elit in","Unauthorized","401","177","72",,,,"0","0","0","0"
"1","Sendinblue","Update a task","PATCH","https://api.brevo.com/v3/crm/tasks/veniam elit in","Unauthorized","401","178","72",,,,"0","0","0","0"
"1","Sendinblue","Get all notes","GET","https://api.brevo.com/v3/crm/notes","Unauthorized","401","183","72","Response time is less than 200ms","Verify presence of specific keys, Verify format of author object, Verify format of IDs, Verify format of createdAt and updatedAt fields, Verify contactIds and companyIds are null, Verify length of text, Response status code is 200, Verify format of IDs",,"9","1","8","0"
"1","Sendinblue","Create a note","POST","https://api.brevo.com/v3/crm/notes","Unauthorized","401","187","72",,,,"0","0","0","0"
"1","Sendinblue","Get a note","GET","https://api.brevo.com/v3/crm/notes/66329fc84863cb174a255996","Unauthorized","401","182","72",,"Verify presence of specific keys, Verify format of author object, Verify format of IDs, Verify format of createdAt and updatedAt fields, Verify contactIds and companyIds are null, Verify length of text",,"6","0","6","0"
"1","Sendinblue","Update a note","PATCH","https://api.brevo.com/v3/crm/notes/veniam elit in","Unauthorized","401","170","72",,,,"0","0","0","0"
"1","Sendinblue","Delete a note","DELETE","https://api.brevo.com/v3/crm/notes/veniam elit in","Unauthorized","401","167","72",,,,"0","0","0","0"
"1","Sendinblue","Get all files","GET","https://api.brevo.com/v3/crm/files?entity=deals&entityIds=veniam elit in&dateFrom=-41398727&dateTo=-41398727&offset=13396752&limit=50&sort=desc","Unauthorized","401","198","72",,,,"0","0","0","0"
"1","Sendinblue","Upload a file","POST","https://api.brevo.com/v3/crm/files","Unauthorized","401","165","72",,,,"0","0","0","0"
